Course Code,Sections,Credits,Call_number,Class Link
MECE E1008,001,1,11898,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E1008-20201-001/
MECE E1008,002,1,11906,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E1008-20201-002/
MECE E1008,003,1,11907,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E1008-20201-003/
MECE E1008,004,1,11908,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E1008-20201-004/
MECE E1008,005,1,11909,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E1008-20201-005/
MECE E1008,006,1,11910,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E1008-20201-006/
MECE E3028,001,3,11888,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E3028-20201-001/
ENME E3105,001,4,11885,http://www.columbia.edu/cu/bulletin/uwb/subj/ENME/E3105-20201-001/
ENME E3105,R01,0,11911,http://www.columbia.edu/cu/bulletin/uwb/subj/ENME/E3105-20201-R01/
ENME E3105,R02,0,11912,http://www.columbia.edu/cu/bulletin/uwb/subj/ENME/E3105-20201-R02/
ENME E3105,R03,0,11913,http://www.columbia.edu/cu/bulletin/uwb/subj/ENME/E3105-20201-R03/
ENME E3105,R04,0,11914,http://www.columbia.edu/cu/bulletin/uwb/subj/ENME/E3105-20201-R04/
ENME E3105,R05,0,11948,http://www.columbia.edu/cu/bulletin/uwb/subj/ENME/E3105-20201-R05/
MECE E3311,001,3,11889,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E3311-20201-001/
MECE E3408,001,3,11890,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E3408-20201-001/
MECE E3408,002,3,11891,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E3408-20201-002/
MECE E3411,001,1,11892,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E3411-20201-001/
MECE T,4:10pm-6:40pm,Seeley,834,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E3430-20201-001/
MECE E3430,001,3,11893,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E3450-20201-001/
MECE E3450,001,3,12248,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E3610-20201-001/
MECE E3610,001,3,11894,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E3901-20201-001/
