course_number,course_title
E1008,INTRO TO MACHINING
E3028,MECHANICAL ENGINEERING LAB II
E3105,MECHANICS
E3311,HEAT TRANSFER
E3408,COMPUTER GRAPHICS &amp; DESIGN
E3411,REVIEW OF FUNDMNTLS MECE ENGR
E3430,ENGINEERING DESIGN
E3450,COMPUTER AIDED DESIGN
E3610,MATERIALS/PROCESSES IN MANUFAC
E3901,HONORS TUTORIAL IN MECH ENGIN
E3998,PROJECTS IN MECH ENGINEERING
E3999,FIELDWORK
E4058,MECHATRONICS &amp; EMBEDDED MICRO
E4100,MECHANICS OF FLUIDS
E4200,HUMAN-CENTERED DESIGN AND INNO
E4214,MEMS PRODUCTION &amp; PACKAGING
E4302,ADVANCED THERMODYNAMICS
E4305,MECH &amp; THERMODYNAMICS OF PROPULSION
E4306,INTRO TO AERODYNAMICS
E4314,ENERGY DYNAMICS OF GREEN BLDGS
E4520,DATA SCIENCE FOR MECHANICAL SYSTEMS
E4601,DIGITAL CONTROL SYSTEMS
E4606,DIGITAL MANUFACTURING
E4609,COMPUTER AIDED MANUFACTURING
E4611,ROBOTICS STUDIO
E4710,MORPHOGENESIS:BIOL MAT SHP/STR
E4810,INTRO TO HUMAN SPACE FLIGHT
E4998,MS PROJECTS IN MECH ENGINEER
E4999,FIELDWORK
E6102,COMPUTATNL HEAT TRANSF-FL FLOW
E6137,NANOSCALE ACTUATION &amp; SENSING
E6310,MIXT THEORIES FOR BIOL TISSUES
E6313,ADVANCED HEAT TRANSFER
E6400,ADVANCED MACHINE DYNAMICS
E6616,ROBOT LEARNING
E6617,"Advanced Kinematics, Dynamics, and Contr"
E6620,APPLIED SIGNAL RECOGNITION
E8020,MASTERS THESIS
E9001,GRADUATE RESEARCH AND STUDY II
E9500,GRADUATE SEMINAR
E9800,DOCTORAL RESEARCH INSTRUCTION
